Tekma,Team,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
219,23,44-88,17-39,24-25,8,31,39,27,8,8,15,27,129
220,7,38-82,11-24,32-41,11,44,55,24,5,9,11,29,119
220,1,33-86,9-38,29-39,9,37,46,27,5,3,10,26,104
221,16,49-96,15-43,10-12,15,28,43,33,11,4,14,21,123
221,5,42-85,7-32,19-25,12,34,46,22,8,1,21,12,110
222,26,37-95,14-41,15-20,14,37,51,24,7,11,14,28,103
222,19,31-82,15-32,25-37,14,41,55,17,5,8,19,21,102
223,10,43-94,17-37,15-24,13,36,49,29,7,3,14,14,118
223,8,46-93,12-34,16-18,8,36,44,28,9,5,10,19,120
224,2,42-87,14-43,15-17,6,23,29,23,5,8,11,25,113
224,6,45-87,8-25,27-32,13,37,50,24,7,3,12,18,125
225,30,41-90,12-30,16-20,10,22,32,23,10,5,11,21,110
225,12,45-81,12-28,20-24,10,35,45,23,9,7,19,23,122
226,9,33-77,7-31,8-10,4,28,32,19,13,4,19,14,81
226,14,39-84,17-40,6-9,12,33,45,22,11,3,21,16,101
228,15,38-83,15-35,25-30,13,42,55,21,9,12,16,16,116
228,20,40-93,8-32,10-12,10,30,40,30,14,8,13,21,98
229,28,45-93,14-39,18-20,7,35,42,23,3,2,5,21,122
229,17,41-89,12-28,23-30,9,40,49,21,3,5,7,18,117
230,22,53-103,6-26,18-19,10,33,43,32,12,1,9,15,130
230,27,47-94,17-44,15-15,9,36,45,30,7,4,16,23,126
231,25,41-87,14-42,10-13,4,25,29,24,8,1,11,21,106
231,3,43-84,10-33,24-25,9,39,48,21,8,7,13,19,120
233,7,36-94,5-22,17-25,16,41,57,19,2,6,11,21,94
233,21,38-91,12-34,15-21,12,43,55,21,6,14,6,25,103
234,1,42-93,14-39,10-15,4,31,35,30,6,8,11,21,108
234,23,45-94,20-50,17-22,14,43,57,28,6,4,16,20,127
235,12,38-83,8-23,30-38,12,37,49,14,10,7,15,24,114
235,19,37-86,14-33,22-30,8,35,43,25,9,8,15,28,110
236,9,42-89,13-46,27-32,2,29,31,29,7,1,8,23,124
236,2,44-83,19-37,21-26,9,38,47,34,0,6,16,26,128
237,4,36-79,4-19,25-31,5,37,42,20,7,4,18,18,101
237,16,33-84,8-25,16-22,10,35,45,18,8,1,18,28,90
238,13,40-87,10-33,20-28,10,32,42,21,5,4,20,24,110
238,20,39-91,12-34,30-37,14,36,50,23,14,4,11,22,120
239,26,47-86,16-37,23-29,13,39,52,28,5,5,14,28,133
239,28,37-83,5-25,29-40,10,26,36,15,7,4,10,23,108
240,22,40-97,15-36,25-32,12,53,65,22,4,3,16,20,120
240,27,41-102,16-53,14-18,7,43,50,26,8,4,9,31,112
241,14,37-90,15-35,18-26,12,33,45,24,12,8,16,18,107
241,8,35-87,13-39,19-22,12,35,47,23,10,8,18,23,102
242,6,34-85,10-33,25-34,11,23,34,24,10,8,17,23,103
242,30,52-93,14-28,23-27,13,42,55,26,14,8,15,23,141
243,25,42-95,7-35,9-14,12,39,51,22,7,2,10,19,100
243,3,41-92,14-46,12-16,8,38,46,26,4,2,10,10,108
244,5,42-88,14-36,9-16,9,34,43,28,10,5,12,17,107
244,10,39-87,17-38,9-13,11,32,43,27,4,4,15,18,104
245,11,39-92,14-42,9-14,12,38,50,23,5,5,14,14,101
245,17,48-96,15-31,10-11,5,39,44,27,11,5,8,14,121
246,15,42-83,14-39,17-22,5,22,27,27,8,4,9,23,115
246,29,50-91,10-31,19-27,16,36,52,32,4,2,16,16,129
248,7,39-86,12-29,23-25,13,34,47,20,9,0,12,20,113
248,24,39-83,17-46,21-23,9,30,39,19,5,8,11,16,116
249,12,40-94,9-28,15-20,13,23,36,15,12,3,9,26,104
249,19,35-70,17-38,32-38,11,36,47,22,6,6,18,20,119
250,14,38-93,14-38,24-27,13,26,39,24,9,6,10,25,114
250,8,40-78,12-29,37-45,7,38,45,26,5,8,13,25,129
251,5,39-89,11-38,19-27,11,30,41,22,5,6,14,20,108
251,10,42-88,19-37,14-22,10,39,49,31,10,3,15,21,117
252,9,31-84,11-43,12-17,8,37,45,20,3,7,12,21,85
252,2,34-85,11-38,19-22,6,43,49,24,6,5,7,18,98
253,4,42-87,10-32,21-28,15,25,40,21,7,7,13,23,115
253,6,40-86,9-21,19-22,15,29,44,19,8,3,17,25,108
254,30,44-87,15-29,16-20,6,38,44,28,9,6,12,18,119
254,16,41-88,17-39,4-10,9,32,41,28,4,7,18,16,103
257,22,40-79,15-35,22-28,14,35,49,25,9,4,16,20,117
257,28,41-84,11-32,20-24,8,26,34,26,11,4,11,22,113
258,20,39-94,8-24,22-25,16,31,47,26,8,5,18,28,108
258,1,44-89,14-30,28-37,15,31,46,21,13,10,15,19,130
259,25,43-84,18-40,21-35,9,34,43,25,5,6,8,19,125
259,24,46-98,14-41,16-21,15,35,50,17,6,3,8,23,122
260,3,36-89,8-26,19-22,13,33,46,23,11,4,12,19,99
260,15,37-80,10-26,24-25,9,37,46,20,7,9,14,17,108
261,11,33-85,5-26,17-23,12,38,50,19,7,3,20,22,88
261,26,37-88,12-37,21-29,8,36,44,16,13,4,13,17,107
262,7,36-83,10-27,12-17,9,35,44,15,6,4,11,21,94
262,23,37-92,15-48,19-22,17,36,53,24,6,5,6,14,108
263,8,45-88,16-40,10-12,11,36,47,34,1,9,12,19,116
263,5,37-90,13-38,19-21,11,28,39,28,3,3,11,14,106
264,19,37-82,11-27,22-29,13,27,40,29,7,5,22,21,107
264,6,47-87,11-21,17-23,8,29,37,24,14,7,16,22,122
265,21,45-92,14-33,17-26,17,33,50,30,8,3,15,18,121
265,10,40-96,10-26,17-18,17,30,47,25,8,8,14,23,107
266,2,52-98,11-32,17-20,11,25,36,29,7,10,9,25,132
266,15,45-94,13-33,25-28,12,25,37,29,3,7,9,18,128
267,22,42-92,14-43,11-11,12,37,49,29,14,4,13,12,109
267,9,30-80,13-45,9-11,6,32,38,24,6,3,16,13,82
268,4,41-86,8-24,16-25,6,31,37,20,5,2,11,20,106
268,12,41-85,9-25,16-26,7,31,38,24,10,7,11,24,107
269,29,40-93,16-44,19-26,14,45,59,30,9,3,14,14,115
269,14,38-94,22-55,10-12,10,36,46,26,8,8,11,20,108
271,11,37-92,13-38,19-21,11,28,39,29,11,2,11,20,106
271,13,46-89,17-43,15-24,12,38,50,27,7,4,14,17,124
272,30,42-98,10-30,12-14,13,26,39,15,10,4,10,14,106
272,17,46-82,8-28,10-16,9,37,46,22,5,4,19,16,110
273,25,38-85,16-40,10-14,5,43,48,21,7,8,14,19,102
273,27,36-95,15-43,10-12,9,40,49,19,7,3,13,16,97
274,28,42-91,12-35,8-9,4,32,36,22,4,7,8,12,104
274,23,42-91,16-41,16-21,11,39,50,20,7,7,9,18,116
275,20,37-87,14-36,23-33,11,28,39,23,12,7,17,22,111
275,1,45-85,15-34,18-23,11,35,46,32,11,5,21,28,123
276,4,36-88,12-28,8-12,12,32,44,25,2,3,11,16,92
276,19,40-87,14-36,13-13,5,33,38,27,4,2,8,18,107
277,3,36-87,17-42,20-22,13,42,55,22,11,4,13,20,109
277,9,40-90,13-33,12-15,8,37,45,24,5,1,13,18,105
278,1,38-99,11-38,6-8,12,36,48,21,8,1,13,19,93
278,27,41-88,11-32,21-23,9,48,57,34,7,1,14,14,114
279,24,39-93,17-41,6-8,10,39,49,16,6,7,15,16,101
279,26,38-90,13-47,15-18,10,37,47,19,8,7,13,12,104
280,8,42-87,11-35,10-13,9,30,39,30,7,4,16,13,105
280,5,43-85,16-37,6-9,9,33,42,35,7,5,17,13,108
281,3,46-94,13-37,11-11,9,40,49,25,8,5,11,15,116
281,10,32-89,10-33,16-18,12,37,49,20,6,2,17,12,90
282,15,39-87,12-37,26-34,12,35,47,16,5,4,13,30,116
282,11,31-85,7-28,31-38,13,34,47,13,6,4,12,27,100
283,6,29-84,8-26,15-18,14,29,43,15,8,5,14,20,81
283,7,39-80,10-27,14-16,8,33,41,20,8,6,13,24,102
284,21,43-78,16-36,24-31,11,27,38,31,7,5,22,25,126
284,14,42-86,13-32,27-33,12,23,35,20,14,2,15,27,124
285,29,48-96,13-35,17-22,12,37,49,29,5,5,12,19,126
285,13,45-96,21-48,20-28,12,33,45,32,7,3,9,16,131
286,12,39-87,8-16,32-38,12,39,51,20,11,6,10,17,118
286,20,35-82,10-33,14-18,4,34,38,20,3,4,18,29,94
287,2,57-100,19-45,14-16,10,40,50,33,7,4,11,25,147
287,25,40-86,16-38,29-34,6,30,36,23,4,4,12,12,125
288,22,41-78,14-31,13-20,7,30,37,25,8,5,15,15,109
288,17,44-81,10-23,21-26,9,32,41,29,8,1,12,18,119
289,28,37-86,9-33,18-27,8,32,40,20,6,4,11,27,101
289,23,38-87,20-48,24-26,17,39,56,21,8,5,15,25,120
290,24,45-88,17-42,16-19,9,26,35,20,11,1,8,17,123
290,16,43-85,21-45,15-15,11,32,43,31,5,2,15,14,122
291,29,40-82,18-45,16-24,8,38,46,22,6,6,15,17,114
291,5,44-92,21-44,17-20,7,34,41,32,8,5,9,20,126
292,26,45-92,20-46,16-20,7,38,45,32,8,5,14,24,126
292,13,41-91,12-41,18-29,10,38,48,27,11,7,14,14,112
293,21,41-85,17-45,5-11,12,29,41,22,12,3,17,21,104
293,9,36-77,11-32,22-26,9,30,39,25,5,4,15,14,105
294,4,37-84,9-31,13-19,13,32,45,20,8,4,14,15,96
294,30,40-82,6-21,9-14,9,33,42,24,10,6,15,16,95
295,27,37-81,10-22,27-31,9,33,42,22,9,0,13,19,111
295,28,44-83,9-29,8-14,5,32,37,22,5,4,15,26,105
296,18,51-91,17-35,10-15,10,35,45,34,7,7,14,23,129
296,17,39-83,13-29,21-26,8,30,38,25,7,5,13,16,112
297,19,29-77,9-36,24-32,7,31,38,17,7,4,14,14,91
297,1,47-89,17-36,7-10,8,39,47,34,6,5,14,23,118
298,23,32-75,20-47,33-39,10,28,38,28,3,4,14,21,117
298,22,47-87,18-28,16-19,7,32,39,28,8,2,8,27,128
299,12,45-92,8-26,21-31,14,30,44,20,9,8,12,21,119
299,8,41-84,10-28,18-22,9,32,41,21,6,7,17,25,110
300,3,44-81,17-38,24-28,7,31,38,26,2,4,7,14,129
300,7,41-85,10-27,23-28,10,26,36,21,5,5,7,20,115
301,10,33-82,13-36,23-28,6,36,42,22,8,5,10,18,102
301,14,41-90,12-39,21-22,9,39,48,27,8,5,11,22,115
302,2,50-88,19-36,27-33,7,38,45,33,6,5,17,24,146
302,11,56-108,12-39,25-32,11,28,39,24,10,2,7,22,149
303,6,41-84,4-16,18-23,10,45,55,20,3,3,19,14,104
303,20,41-91,16-40,11-15,7,27,34,24,10,11,8,25,109
304,20,40-102,11-38,7-11,15,30,45,20,4,1,8,21,98
304,6,35-84,7-22,23-31,15,37,52,26,4,12,13,12,100
305,4,40-77,7-23,20-24,4,27,31,24,10,7,11,20,107
305,15,37-78,11-29,14-17,6,30,36,27,8,3,17,21,99
306,5,43-95,21-41,22-26,13,31,44,31,6,4,11,22,129
306,9,43-91,19-46,16-25,10,38,48,28,8,7,15,26,121
307,7,37-87,6-29,22-26,11,34,45,21,6,6,11,19,102
307,16,42-88,11-34,15-20,7,33,40,30,3,1,12,19,110
308,24,39-104,15-42,13-13,14,31,45,19,8,6,11,10,106
308,29,53-96,21-42,7-12,9,44,53,38,10,7,12,13,134
309,21,42-88,14-43,20-26,13,39,52,31,3,8,20,18,118
309,13,40-101,9-30,20-24,17,29,46,22,11,5,10,22,109
310,26,49-102,28-52,10-11,10,40,50,30,8,6,11,20,136
310,25,39-89,13-34,15-19,8,37,45,21,8,8,16,13,106
311,27,43-92,13-35,10-12,11,34,45,19,7,3,16,24,109
311,28,37-86,10-32,24-25,7,35,42,16,9,7,14,17,108
312,18,52-93,15-30,14-18,10,43,53,37,11,11,9,16,133
312,17,37-89,13-37,15-22,10,32,42,28,8,7,14,13,102
314,18,42-93,9-25,23-24,10,26,36,27,11,7,16,22,116
314,8,49-82,16-29,20-29,9,33,42,30,8,8,18,19,134
315,14,40-83,20-45,23-25,6,34,40,32,14,4,11,18,123
315,10,41-89,14-38,12-14,9,37,46,24,4,4,16,22,108
316,3,45-99,15-36,15-17,11,28,39,21,12,5,8,18,120
316,2,45-79,13-31,21-26,6,38,44,25,6,4,16,17,124
317,19,39-93,9-27,18-20,12,34,46,18,7,5,15,21,105
317,23,38-82,16-42,25-29,8,36,44,23,9,6,13,17,117
318,30,39-84,13-34,20-27,12,39,51,16,3,4,15,20,111
318,1,38-83,15-37,16-23,6,30,36,30,9,4,11,23,107
319,12,41-79,10-24,26-32,10,30,40,23,9,6,18,21,118
319,5,39-87,14-37,19-23,10,27,37,28,5,4,16,22,111
320,3,44-79,20-34,13-17,8,38,46,22,4,6,14,20,121
320,6,41-92,4-10,13-17,11,26,37,21,8,6,8,14,99
321,8,43-95,11-34,13-15,8,38,46,28,7,6,14,13,110
321,29,48-102,21-48,13-14,11,42,53,33,13,7,12,11,130
322,28,43-93,13-40,23-25,13,32,45,27,8,7,10,19,122
322,15,45-90,14-38,12-17,13,33,46,31,6,4,16,20,116
323,11,35-84,15-37,18-25,14,35,49,20,6,5,17,17,103
323,9,36-83,12-35,16-22,9,35,44,24,11,2,13,21,100
324,7,43-89,11-22,10-15,11,36,47,19,5,4,17,18,107
324,16,43-88,6-36,11-16,6,32,38,25,11,3,9,14,103
325,26,33-86,12-46,9-13,5,36,41,21,11,4,20,18,87
325,25,36-83,10-33,22-26,5,46,51,19,13,5,21,14,104
326,20,43-94,13-33,9-11,9,40,49,22,6,9,10,21,108
326,17,43-96,7-26,18-24,7,38,45,28,5,6,7,13,111
327,27,38-82,8-35,17-20,11,28,39,26,3,6,14,18,101
327,13,46-90,14-33,17-21,12,32,44,30,7,3,7,20,123
328,30,39-86,11-33,22-29,11,34,45,28,9,3,13,21,111
328,21,42-92,13-37,19-23,12,32,44,23,7,2,10,19,116
329,24,45-98,13-31,18-23,19,34,53,17,8,5,11,18,121
329,12,39-81,7-27,20-24,8,29,37,19,6,3,18,15,105
330,23,44-91,13-27,11-13,12,40,52,19,7,4,14,20,112
330,15,32-98,9-31,18-19,18,31,49,19,8,1,11,15,91
331,1,51-89,22-43,23-27,4,41,45,37,6,6,8,19,147
331,28,38-92,20-50,20-23,10,32,42,26,2,3,10,24,116
332,26,41-87,19-45,14-17,8,36,44,26,8,3,14,19,115
332,18,37-87,12-35,17-24,11,32,43,28,10,6,13,15,103
333,22,36-92,8-28,13-15,16,26,42,19,9,2,15,23,93
333,4,46-81,8-24,14-22,8,32,40,29,10,7,16,19,114
334,23,48-87,26-50,16-18,6,38,44,32,5,9,16,19,138
334,5,48-104,11-35,14-17,14,26,40,26,9,2,7,17,121
335,13,41-76,13-25,19-26,11,39,50,23,5,6,19,17,114
335,8,41-93,20-42,11-16,10,27,37,31,9,6,10,21,113
336,16,46-96,9-30,18-20,10,30,40,27,9,5,8,22,119
336,10,42-81,11-27,28-37,10,39,49,27,5,2,15,22,123
337,14,49-97,13-32,12-14,12,29,41,22,10,6,10,25,123
337,2,39-80,17-42,22-29,8,32,40,29,5,6,18,19,117
338,29,50-97,7-22,16-22,13,41,54,28,6,7,11,18,123
338,6,41-92,11-32,12-16,6,30,36,23,7,9,11,19,105
339,11,33-89,8-33,21-24,12,28,40,19,7,9,17,20,95
339,9,43-86,16-36,20-23,9,39,48,27,9,7,16,20,122
340,20,41-94,16-40,8-9,10,33,43,27,10,4,15,15,106
340,25,39-85,13-34,12-17,8,36,44,28,10,7,17,7,103
341,19,34-91,7-36,17-28,17,28,45,20,8,6,13,16,92
341,27,42-85,12-32,13-16,10,40,50,26,7,3,21,26,109
342,30,43-90,16-38,17-21,9,25,34,21,8,1,6,16,119
342,3,42-81,14-32,17-21,10,37,47,26,5,4,16,17,115
343,24,37-89,17-47,8-16,11,30,41,15,7,7,11,15,99
343,7,44-88,13-30,9-13,8,43,51,20,5,5,14,19,110
344,22,45-97,13-35,11-14,13,34,47,30,3,9,9,18,114
344,21,44-91,14-35,17-24,10,35,45,30,5,7,7,11,119
345,16,47-91,15-30,9-13,11,36,47,28,6,10,10,12,118
345,10,37-95,6-27,12-12,15,32,47,17,5,10,11,10,92
346,2,39-88,15-41,15-17,8,26,34,21,6,3,17,18,108
346,12,48-94,10-27,18-22,13,38,51,27,12,4,15,15,124
347,18,40-90,13-39,16-19,11,34,45,27,5,5,9,17,109
347,13,45-87,15-33,13-21,8,34,42,27,3,9,7,15,118
348,14,41-97,13-38,26-34,14,24,38,24,9,5,6,27,121
348,15,42-74,19-36,29-33,4,39,43,31,1,10,18,25,132
349,29,47-86,16-34,14-23,6,37,43,25,10,2,8,20,124
349,6,39-86,6-28,15-21,8,32,40,21,4,1,13,19,99
350,17,37-87,8-25,29-36,7,37,44,22,6,7,10,18,111
350,26,38-88,12-38,18-25,6,40,46,21,5,6,12,25,106
351,20,47-93,12-36,12-22,13,27,40,27,12,3,13,15,118
351,25,46-90,12-33,16-20,8,35,43,25,8,1,15,19,120
352,1,46-86,20-45,20-23,6,34,40,27,11,4,16,24,132
352,28,44-96,21-47,25-30,15,32,47,27,5,0,14,19,134
353,19,45-94,16-42,23-28,9,26,35,31,13,4,20,31,129
353,4,51-91,9-19,24-28,9,32,41,32,12,5,23,24,135
354,23,38-92,13-42,14-21,16,44,60,22,2,4,14,17,103
354,8,37-93,8-29,13-18,8,37,45,23,9,6,9,22,95
355,9,40-83,13-35,16-20,6,38,44,25,6,1,11,15,109
355,7,38-85,16-42,11-15,10,34,44,23,8,2,12,20,103
356,30,33-93,17-44,8-12,13,28,41,19,6,2,5,11,91
356,27,40-82,8-29,12-12,9,41,50,25,4,5,10,15,100
357,21,46-94,10-29,11-15,11,41,52,25,5,4,12,18,113
357,3,41-99,8-28,20-23,16,37,53,19,8,5,9,16,110
358,26,35-86,13-47,11-16,8,31,39,20,9,4,11,18,94
358,5,44-90,19-41,12-13,11,40,51,28,5,6,14,15,119
359,11,36-86,6-26,27-36,10,37,47,23,8,4,13,21,105
359,16,36-85,9-30,20-24,10,40,50,23,6,3,16,26,101
360,14,42-77,20-37,24-26,7,30,37,28,11,2,14,24,128
360,18,37-87,13-39,26-29,19,23,42,27,7,4,15,18,113
361,20,42-91,18-42,20-28,7,34,41,27,9,5,9,27,122
361,28,45-87,12-34,25-30,10,38,48,30,4,6,14,22,127
362,1,38-86,13-37,11-15,6,43,49,29,4,6,20,19,100
362,17,39-96,11-31,16-19,10,36,46,24,12,6,10,16,105
363,6,44-86,8-24,17-25,9,30,39,23,5,5,10,20,113
363,27,47-90,11-24,14-19,14,27,41,29,7,6,10,20,119
364,29,45-89,16-40,19-22,11,39,50,24,7,7,10,19,125
364,22,41-94,15-36,15-16,8,30,38,22,5,4,9,15,112
365,25,43-110,12-38,14-19,15,40,55,23,6,4,12,23,112
365,4,44-95,9-38,22-29,10,49,59,28,7,12,15,19,119
366,2,43-86,11-30,14-16,8,26,34,30,8,6,15,22,111
366,19,47-84,13-29,15-21,7,30,37,28,10,6,13,16,122
367,7,37-87,10-28,12-16,11,35,46,22,8,5,14,25,96
367,9,26-70,14-33,32-39,6,32,38,21,5,6,10,14,98
368,26,38-91,13-43,12-21,12,25,37,24,5,4,12,23,101
368,13,47-92,12-31,24-28,15,40,55,31,7,6,9,20,130
369,1,42-91,17-40,13-19,10,40,50,26,8,4,10,19,114
369,17,32-86,8-24,19-21,8,37,45,20,2,5,14,16,91
370,30,38-86,13-29,19-23,11,24,35,18,2,2,8,25,108
370,23,40-84,18-48,24-27,10,31,41,28,4,7,10,22,122
371,10,37-88,11-35,12-22,10,43,53,22,7,3,10,11,97
371,24,35-90,18-46,18-19,9,45,54,18,6,6,8,17,106
372,12,41-85,9-20,28-35,12,47,59,24,4,5,17,22,119
372,21,43-99,14-42,11-19,8,31,39,24,6,8,11,28,111
373,14,49-93,19-32,20-23,9,37,46,28,5,5,12,17,137
373,11,42-93,12-41,19-23,12,34,46,26,7,3,14,20,115
374,8,36-92,15-38,7-11,10,33,43,26,4,5,8,21,94
374,2,32-76,9-31,31-35,9,37,46,20,2,5,12,20,104
375,15,40-88,14-39,23-28,9,33,42,27,7,4,9,20,117
375,28,43-84,14-35,18-20,4,33,37,25,3,3,9,24,118
376,13,41-81,13-36,21-26,9,26,35,27,11,1,12,12,116
376,16,48-81,25-47,8-11,7,28,35,36,4,6,16,20,129
377,5,45-82,14-29,10-12,8,27,35,23,11,4,18,14,114
377,18,47-94,23-49,13-18,19,27,46,34,10,2,16,18,130
378,3,41-82,12-23,25-29,11,37,48,23,9,4,15,20,119
378,20,41-95,15-41,15-19,16,27,43,29,8,8,15,24,112
379,6,36-94,8-37,15-20,18,31,49,25,7,7,17,18,95
379,22,51-85,16-36,15-21,4,35,39,31,12,9,11,18,133
380,29,43-85,16-37,22-30,10,29,39,23,6,0,9,21,124
380,27,46-87,15-31,18-25,12,35,47,25,7,2,11,19,125
381,25,47-100,7-31,12-14,7,39,46,32,11,4,13,23,113
381,4,42-89,10-35,20-24,6,37,43,22,6,6,16,15,114
382,8,44-86,14-31,9-10,10,31,41,26,10,5,7,18,111
382,19,38-85,5-28,14-19,15,28,43,21,5,5,11,13,95
383,9,34-79,15-42,18-20,8,41,49,24,6,3,20,21,101
383,26,32-83,15-50,15-20,8,34,42,24,7,1,13,20,94
384,10,38-97,15-33,14-18,13,36,49,19,7,6,15,17,105
384,1,41-88,20-50,9-12,9,37,46,29,6,6,17,20,111
385,12,42-86,6-27,24-29,11,35,46,20,6,5,9,20,114
385,24,40-93,17-38,21-23,15,32,47,15,5,2,8,21,118
386,20,45-99,16-41,8-14,9,31,40,28,10,4,8,18,114
386,5,44-90,13-36,19-19,12,43,55,20,4,3,20,17,120
387,7,44-98,6-24,15-22,15,50,65,22,11,4,11,22,109
387,11,34-89,9-34,14-20,9,37,46,20,5,5,14,18,91
388,17,45-85,12-31,23-28,8,38,46,27,6,6,13,25,125
388,15,39-90,11-32,25-33,10,31,41,22,10,4,12,17,114
389,14,41-83,9-28,15-19,3,29,32,26,7,8,13,26,106
389,30,39-86,20-39,22-28,14,35,49,30,8,6,18,22,120
390,13,48-90,17-37,17-23,9,29,38,31,5,3,9,19,130
390,28,51-88,25-45,16-21,5,32,37,30,4,2,6,22,143
391,3,50-86,13-30,12-15,4,33,37,20,11,7,9,13,125
391,16,40-85,12-32,14-15,8,33,41,23,4,3,13,16,106
392,25,36-90,10-32,13-17,12,38,50,26,8,3,12,19,95
392,22,40-87,10-40,7-10,7,34,41,24,6,6,13,14,97
393,29,42-92,12-33,19-27,6,27,33,19,8,6,10,28,115
393,23,43-82,14-38,29-34,7,39,46,22,4,5,17,22,129
394,18,39-80,12-29,15-19,6,27,33,31,9,2,17,25,105
394,4,43-85,6-30,23-33,13,34,47,26,9,4,18,16,115
395,6,38-87,8-23,26-37,10,31,41,20,6,3,11,21,110
395,24,43-83,13-35,30-33,9,36,45,16,3,4,14,29,129
396,10,46-91,15-34,16-20,10,32,42,25,8,2,10,15,123
396,21,43-83,12-33,14-19,8,34,42,33,8,1,18,18,112
397,12,38-73,7-17,28-33,8,27,35,19,7,1,13,15,111
397,27,48-79,10-25,14-17,4,28,32,25,8,3,13,24,120
398,8,45-89,12-31,23-27,7,36,43,34,8,6,9,21,125
398,15,43-90,9-31,18-23,7,31,38,35,5,4,11,24,113
399,26,33-88,8-43,25-30,12,34,46,17,5,5,9,17,99
399,7,45-86,12-28,19-23,4,40,44,21,4,4,7,21,121
400,2,50-93,16-39,18-20,8,37,45,35,9,5,13,15,134
400,1,44-90,9-34,20-25,5,32,37,25,6,6,13,15,117
401,9,35-86,12-36,12-17,8,35,43,24,11,3,17,21,94
401,23,39-85,12-46,22-29,10,38,48,26,11,7,15,21,112
402,24,45-85,18-40,13-19,10,26,36,15,7,2,15,23,121
402,28,40-81,14-41,24-25,10,25,35,19,5,6,12,21,118
403,19,34-79,15-38,25-30,6,38,44,25,3,6,12,20,108
403,30,36-82,8-27,22-30,7,37,44,15,9,2,10,25,102
404,20,43-82,16-39,14-19,5,35,40,28,6,8,18,26,116
404,14,38-91,10-33,26-31,10,28,38,24,6,3,11,22,112
405,17,48-96,10-34,16-19,10,33,43,31,13,4,9,13,122
405,5,45-95,12-34,8-11,12,37,49,23,6,6,16,20,110
406,4,40-87,6-28,19-29,8,38,46,27,4,4,10,26,105
406,22,39-85,19-47,25-34,9,38,47,28,6,4,9,24,122
407,10,33-89,6-35,18-22,9,39,48,13,4,6,10,12,90
407,27,41-92,12-37,15-16,11,48,59,24,6,2,8,17,109
408,18,50-94,9-21,15-19,9,34,43,31,10,2,10,20,124
408,21,41-82,8-33,20-26,5,28,33,22,8,5,16,19,110
409,6,43-93,7-25,18-25,11,29,40,25,4,4,15,27,111
409,3,42-88,13-30,31-36,12,35,47,31,8,5,10,21,128
410,16,44-102,13-33,19-22,13,47,60,25,6,2,18,24,120
410,8,39-92,9-33,25-31,8,39,47,18,9,14,19,23,112
411,26,43-91,8-37,25-34,9,32,41,23,9,5,18,22,119
411,11,48-92,12-30,23-31,10,37,47,25,14,2,15,24,131
412,15,36-85,11-33,29-32,11,31,42,17,5,6,11,19,112
412,7,42-83,17-34,22-27,10,32,42,22,5,6,8,22,123
413,12,47-94,8-23,21-24,12,30,42,19,6,4,12,21,123
413,23,45-86,18-45,26-31,7,29,36,18,9,4,11,18,134
414,6,37-95,8-30,16-20,15,34,49,19,10,3,17,24,98
414,1,46-88,17-37,20-21,5,34,39,34,9,10,14,23,129
415,9,46-91,8-36,18-22,9,30,39,27,7,6,8,21,118
415,3,47-85,15-32,16-20,7,32,39,31,5,0,12,22,125
416,2,51-89,27-47,7-12,9,26,35,31,7,4,15,16,136
416,21,51-96,12-33,11-13,15,26,41,24,6,6,13,13,125
417,22,38-84,9-34,14-15,11,27,38,25,12,3,17,18,99
417,30,39-81,15-42,19-21,10,33,43,26,7,1,20,22,112
419,13,56-91,19-38,13-17,11,36,47,33,14,4,19,19,144
419,18,42-88,13-31,16-18,9,23,32,23,10,0,19,18,113
420,14,46-91,17-43,15-21,8,36,44,25,8,6,15,18,124
420,29,40-83,14-37,19-25,5,36,41,25,10,5,17,17,113
421,4,42-77,11-26,17-21,6,32,38,20,8,8,18,14,112
421,20,39-93,16-34,10-13,11,27,38,26,11,4,15,27,104
422,24,42-96,20-47,11-17,15,39,54,26,6,8,10,23,115
422,25,37-85,10-33,20-27,7,39,46,23,6,3,11,16,104
423,2,47-82,20-40,14-15,4,33,37,28,4,4,10,11,128
423,27,48-88,16-37,12-12,4,30,34,28,7,3,6,15,124
425,7,33-87,7-27,16-19,10,36,46,16,7,5,16,14,89
425,10,42-92,16-34,7-10,10,40,50,27,10,7,12,15,107
426,22,48-92,17-38,15-18,10,32,42,23,7,7,11,26,128
426,11,44-86,15-33,27-34,9,36,45,31,7,3,13,20,130
427,15,44-77,8-24,26-31,8,29,37,19,8,2,14,18,122
427,30,40-86,10-31,24-27,11,26,37,22,9,3,16,27,114
428,26,42-92,15-47,14-18,9,30,39,26,13,6,18,24,113
428,12,39-81,12-26,28-32,7,40,47,23,12,6,20,21,118
429,8,49-97,13-26,23-27,10,41,51,31,5,7,14,18,134
429,20,45-107,15-40,23-25,11,33,44,37,12,8,11,20,128
430,24,46-90,18-41,16-18,7,24,31,26,6,7,9,19,126
430,13,43-89,15-32,23-29,18,33,51,25,5,1,11,15,124
431,9,44-97,13-36,11-12,7,42,49,28,8,5,15,22,112
431,1,43-95,18-52,16-21,9,37,46,32,10,1,16,19,120
432,23,42-98,13-40,17-20,17,36,53,19,12,3,13,15,114
432,3,38-86,9-26,11-17,9,38,47,18,5,2,16,19,96
433,14,38-78,12-35,22-23,2,35,37,26,6,6,9,21,110
